Rubber_content,Aggregate_size,Water_cement_ratio,Compressive_strength,Flexural_strength,Damping_ratio,Cement_content,Fine_aggregate_content,Coarse_aggregate_content,Crumb_rubber_kg_m3,Water_kg,Water_percent
11.66,23.66,0.4,42.67,7.39,0.0728,427.0486516,650.5856285,1176.730776,11.66,170.8194606,7.009862938
8.14,23.45,0.32,49.08,9.81,0.0521,383.6411654,648.3576729,1096.814922,8.14,122.7651729,5.432762946
24.86,15.05,0.53,22.81,2.72,0.1612,404.3519434,690.6153778,1162.563457,24.86,214.30653,8.583600797
10.7,11.56,0.39,42.97,7.96,0.0694,448.2997486,643.4742471,1014.066092,10.7,174.836902,7.630211126
8.43,19.74,0.36,47.39,9.33,0.0505,419.6380304,876.5763962,1114.45447,8.43,151.0696909,5.877812518
16.28,5.73,0.56,36.68,4.68,0.0995,401.7874681,753.8863352,1184.859683,16.28,225.0009822,8.71483931
4.23,14.5,0.57,44.93,8.99,0.0229,403.0255754,787.0725443,1079.277029,4.23,229.724578,9.176760675
24.07,11.73,0.6,21.54,2,0.1509,346.8690216,707.2464526,1192.020126,24.07,208.1214129,8.397657446
2.24,23.41,0.5,50.5,10,0.02,286.7799236,682.8738423,1044.137019,2.24,143.3899618,6.640204879
29.61,5.24,0.66,13.25,2,0.1871,376.0778256,750.9531511,1021.126762,29.61,248.2113649,10.23138924
23.17,16.06,0.67,20.3,3.24,0.1451,327.208628,688.2968925,1104.952467,23.17,219.2297808,9.278162389
5.96,19.81,0.62,43.72,9.21,0.0341,369.8763016,703.0937777,1181.449374,5.96,229.323307,9.210870897
0.17,14.7,0.55,48.75,10,0.02,467.7486761,735.8252623,1062.255844,0.17,257.2617719,10.19560463
24.46,6.71,0.42,29.07,3.46,0.1525,331.4666869,751.7201062,1160.032064,24.46,139.2160085,5.784050251
21.21,24.45,0.69,24.02,4.31,0.1377,292.8266032,895.2942035,1033.839453,21.21,202.0503562,8.263072659
21.87,15.36,0.41,27.98,4.32,0.1399,341.9044562,666.9967764,1149.114079,21.87,140.1808271,6.042104779
23.14,17.28,0.38,25.26,4.38,0.1554,344.5906267,746.3928495,1111.405388,23.14,130.9444381,5.556797015
2.22,9.73,0.48,50.07,9.41,0.02,425.6216332,644.8535218,1035.003395,2.22,204.298384,8.83644701
10.75,14.67,0.32,45.93,7.87,0.0628,402.5470735,704.9997698,1143.61745,10.75,128.8150635,5.388107322
3.48,13.58,0.69,49.25,9.17,0.02,452.457606,815.1932156,1142.751223,3.48,312.1957481,11.45219513
25.89,6.5,0.54,22.95,2,0.1702,426.1489789,652.3386431,1103.087046,25.89,230.1204486,9.440509258
18.7,7.12,0.52,27.26,4.04,0.1265,369.4051095,774.4053923,1045.093528,18.7,192.0906569,8.004795695
9.93,21.75,0.56,38.84,8.08,0.0649,459.0844846,725.0103071,1026.458778,9.93,257.0873114,10.37658754
1.91,9.8,0.5,51.64,10,0.02,316.7340424,615.4738633,1191.45101,1.91,158.3670212,6.933951984
9.33,8.9,0.31,48.93,7.46,0.0546,284.9966561,879.9225724,1131.162508,9.33,88.34896339,3.690801817
9.76,15.1,0.54,38.32,6.94,0.0606,299.8105294,724.0809421,1161.848297,9.76,161.8976859,6.867644893
21.89,20.37,0.59,24.87,3.35,0.1458,438.9190571,835.1779607,1139.394106,21.89,258.9622437,9.611330421
19.13,6.24,0.47,30.61,3.94,0.1231,381.6129907,724.8940466,1165.894733,19.13,179.3581056,7.258846594
26.62,16.54,0.6,16.77,2.28,0.1683,315.4797914,881.2080965,1032.498164,26.62,189.2878748,7.741537974
14.17,7.38,0.39,40.8,5.8,0.0913,390.2298505,687.1411003,1099.390045,14.17,152.1896417,6.495168847
3.59,5.73,0.39,54.59,8.78,0.02,313.5086626,723.6691949,1133.424954,3.59,122.2683784,5.324208349
21.4,6.05,0.36,34.07,3.93,0.1309,433.1904825,827.6592721,1020.67798,21.4,155.9485737,6.34226997
22.82,21.68,0.45,29.3,4.33,0.1481,378.1543806,703.1001946,1029.99139,22.82,170.1694713,7.385073096
16.84,7.36,0.64,28.64,4.15,0.1075,363.8246697,709.3071214,1126.796519,16.84,232.8477886,9.505480829
23.13,5.9,0.63,23.74,2.55,0.1496,346.3326596,898.446952,1173.741161,23.13,218.1895756,8.203107969
14.81,13.76,0.45,38.25,6.5,0.095,418.6621705,766.6843577,1132.083236,14.81,188.3979767,7.474218674
15.68,21.88,0.54,34.38,6.75,0.095,359.5987743,806.8141361,1007.240963,15.68,194.1833381,8.146924101
12.83,10.25,0.59,34.74,6.28,0.0834,299.2829822,793.0386702,1194.086583,12.83,176.5769595,7.132073503
0.76,13.43,0.4,55.2,10,0.02,305.9612985,848.3772441,1027.90138,0.76,122.3845194,5.30863821
3.24,5.8,0.37,54.25,9.19,0.02,491.6174862,858.5475298,1046.512447,3.24,181.8984699,7.045369408
0.94,13.98,0.69,52.08,8.78,0.02,479.887752,768.9768397,1194.993456,0.94,331.1225488,11.9283869
19.09,16.55,0.55,30.28,4.5,0.1166,433.9355694,688.3668225,1154.206599,19.09,238.6645632,9.41751156
9.43,16.42,0.69,35.68,6.59,0.0658,338.4913915,606.8400743,1187.315336,9.43,233.5590601,9.831433507
15.26,11.65,0.44,35.97,6.28,0.1005,493.218803,784.3209753,1161.323939,15.26,217.0162733,8.124481462
27.23,11.31,0.58,17.91,2,0.1732,451.3251989,847.64065,1130.346895,27.23,261.7686153,9.629824577
7.48,7.13,0.39,52.71,8.37,0.0521,437.7158416,735.1619417,1056.9106,7.48,170.7091782,7.089317649
12.31,12.34,0.4,41.29,6.44,0.0807,378.8595305,649.4118421,1065.376288,12.31,151.5438122,6.712899814
22.67,6.99,0.5,28.47,3.59,0.1464,339.8931436,686.4246219,1189.454215,22.67,169.9465718,7.056443267
6.86,20.33,0.43,47.18,9.12,0.0436,301.2060117,752.9966789,1172.125123,6.86,129.518585,5.481789235
2.31,24.33,0.37,55.74,10,0.02,478.5725272,851.0043657,1071.89809,2.31,177.0718351,6.860970894
8.69,24.4,0.41,48,9.09,0.0459,380.2707838,651.5259438,1074.653484,8.69,155.9110213,6.865147695
4.84,22.3,0.31,52.62,10,0.0267,324.5199403,783.6449627,1059.538878,4.84,100.6011815,4.425638626
27.89,17.02,0.58,16.8,2,0.1815,347.3104573,826.0105842,1065.226029,27.89,201.4400652,8.162483552
24.24,19.02,0.5,28.32,3.48,0.1503,407.4283052,880.8142561,1172.133493,24.24,203.7141526,7.577720625
19,10.7,0.34,38.04,5.09,0.1188,318.8900122,635.0111075,1002.101371,19,108.4226042,5.204055784
26.14,17.62,0.37,28.15,3.5,0.17,468.4551425,877.9174902,1087.210524,26.14,173.3284027,6.582795619
24.11,14.11,0.34,31.41,3.58,0.1479,446.8742966,780.4402606,1188.567936,24.11,151.9372608,5.861935904
5.6,14.64,0.55,46.85,8.63,0.0325,438.2818503,830.0104762,1108.527271,5.6,241.0550177,9.188387655
26.78,20.16,0.34,30.77,4.33,0.1625,375.0604688,616.1324129,1090.089158,26.78,127.5205594,5.704130969
16.18,10.64,0.6,31.62,4.86,0.0938,418.007945,751.8444467,1062.473961,16.18,250.804767,10.03495583
24.22,11.36,0.31,31.84,3.27,0.1543,408.5015532,786.7889022,1014.782526,24.22,126.6354815,5.363800025
26.88,23.49,0.4,21.85,3.61,0.1713,422.9662523,692.050152,1044.897296,26.88,169.1865009,7.18115122
9.54,6.12,0.66,36.21,5.69,0.0611,298.5777507,729.4950624,1018.091682,9.54,197.0613154,8.747527795
3.3,14.71,0.59,45.01,9.07,0.02,371.4776285,766.2894406,1025.339886,3.3,219.1718008,9.187363874
6.84,23.26,0.33,53.47,10,0.0364,289.1551182,765.7643819,1032.703309,6.84,95.42118902,4.357362724
12.81,17.21,0.63,29.67,6.16,0.0894,388.6779802,612.5584576,1060.405886,12.81,244.8671275,10.55771456
24.54,15.93,0.5,23.83,3.2,0.1563,352.5694667,731.84453,1002.203336,24.54,176.2847334,7.706631612
25.82,9.99,0.64,12.86,2.45,0.1694,311.7953216,664.1454464,1190.028777,25.82,199.5490058,8.344657251
0.21,11.87,0.54,50.88,10,0.02,302.7486529,875.0085234,1024.763819,0.21,163.4842726,6.909103952
15.32,22.04,0.57,32.45,6.53,0.0915,409.2818059,892.973997,1076.629774,15.32,233.2906294,8.878818883
12.52,16.18,0.7,35.82,6.85,0.0824,317.5304531,689.8940689,1175.905512,12.52,222.2713172,9.191900855
6.66,15.29,0.39,50.01,9.31,0.0315,483.526426,652.5556192,1021.313594,6.66,188.5753062,8.015507342
3.6,6.99,0.55,46.53,7.38,0.02,407.8334507,665.8512453,1096.72085,3.6,224.3083979,9.352753773
10.13,5.32,0.48,44.45,6.99,0.0554,356.311357,743.3256766,1168.95672,10.13,171.0294514,6.981497199
28.29,24.27,0.32,25.62,3.07,0.177,410.0014081,862.3516797,1111.392525,28.29,131.2004506,5.158799551
9.7,12.54,0.31,48.27,8.54,0.0548,285.0168516,750.0108645,1042.068719,9.7,88.355224,4.062025911
15.56,17.06,0.35,37.49,5.94,0.0964,490.8830269,616.6176185,1147.101906,15.56,171.8090594,7.03566981
21.09,6.59,0.56,24.92,2.8,0.1304,386.1067561,611.9656808,1136.268213,21.09,216.2197834,9.116848774
10.91,18.66,0.53,38.45,7.28,0.0734,452.20175,668.2172837,1072.437181,10.91,239.6669275,9.80861409
29.15,23.65,0.52,18.47,2.13,0.1905,298.2006,852.8313833,1009.259032,29.15,155.064312,6.613945815
28.87,16.51,0.31,25.13,2.75,0.1806,387.0648328,786.4441673,1001.572938,28.87,119.9900982,5.163213897
7.55,7.52,0.49,48.39,8.06,0.0412,387.9555388,768.8873561,1165.078577,7.55,190.098214,7.54486828
14.92,16.63,0.67,31.77,4.98,0.0922,486.3218201,695.6908778,1064.311472,14.92,325.8356195,12.59472633
9.03,20.33,0.46,38.98,8.8,0.0558,405.7801715,878.8276215,1027.55398,9.03,186.6588789,7.442982252
8.55,13.13,0.55,42.77,7.02,0.045,384.1676682,699.3534735,1103.710245,8.55,211.2922175,8.777970775
1.11,22.6,0.61,46.41,10,0.02,338.7346459,850.4833238,1184.166659,1.11,206.628134,8.005358636
18.29,17.97,0.61,26.72,4.91,0.1221,352.9451794,868.7710554,1001.696173,18.29,215.2965594,8.762582415
15.08,22.98,0.51,34.05,6.24,0.0968,394.5479285,745.000504,1011.228708,15.08,201.2194436,8.500757639
1.54,17.47,0.64,46.52,8.91,0.02,376.5605213,868.2867808,1083.408987,1.54,240.9987336,9.374482661
8.36,7.63,0.46,42.52,7.72,0.0497,284.7546576,683.0409862,1135.193181,8.36,130.9871425,5.841548473
27.25,11.19,0.66,17.05,2,0.1738,461.7842233,797.5300279,1095.220092,27.25,304.7775874,11.34452119
7.19,9.04,0.4,45.67,8.23,0.0407,477.1553698,626.3891246,1179.509688,7.19,190.8621479,7.692622667
4.35,23.18,0.41,52.13,10,0.0214,310.8547996,742.1802642,1008.816911,4.35,127.4504678,5.809966308
14.68,20.21,0.32,46.22,7.59,0.084,401.8879516,665.1995406,1068.028174,14.68,128.6041445,5.644494171
29.57,18.53,0.62,12.31,2,0.1932,303.886663,618.8289834,1070.269578,29.57,188.4097311,8.521606398
7.26,11.02,0.47,45.71,8.21,0.0433,427.8928205,601.1176524,1068.025445,7.26,201.1096256,8.723394726
20.16,8.68,0.39,28.01,3.1,0.1254,341.8714324,697.4256349,1097.537182,20.16,133.3298587,5.821440649
22.85,20.13,0.39,29.2,4.16,0.15,425.0729796,776.8591784,1158.115409,22.85,165.7784621,6.50449332
7.13,14.48,0.66,41.91,7.08,0.0534,439.9388151,736.5691043,1063.576523,7.13,290.359618,11.4424096
21.85,9.52,0.63,25.22,2.81,0.1451,449.1024482,690.5307896,1148.896641,21.85,282.9345424,10.91015189
11.03,17.33,0.52,40.27,7.41,0.0711,303.7030081,897.3600092,1029.293094,11.03,157.9255642,6.582119606
18.97,5.81,0.55,31.62,3.98,0.123,481.5226059,881.857512,1112.144971,18.97,264.8374333,9.597880325
19.01,11.52,0.49,36.59,4.63,0.1264,330.647078,637.6959921,1075.017605,19.01,162.0170682,7.283670246
16.07,14.37,0.46,39.44,5.18,0.1021,288.2307624,724.532228,1107.84216,16.07,132.5861507,5.842700909
2.71,7.96,0.67,44.72,8.88,0.02,402.0675433,794.6540802,1021.54995,2.71,269.385254,10.81709132
25.06,24.69,0.35,25.52,5.34,0.1612,361.6029024,820.0472393,1190.692569,25.06,126.5610159,5.014375385
9.62,9.18,0.47,42.62,6.57,0.0615,462.5537435,709.9116465,1181.242823,9.62,217.4002594,8.4239881
5.6,7.61,0.44,47.26,8.56,0.0275,457.8153239,823.8845438,1165.279261,5.6,201.4387425,7.589954261
1.22,9.07,0.5,53.46,9.25,0.02,349.7705564,637.2450039,1178.556565,1.22,174.8852782,7.468376215
17.73,20.38,0.48,30.87,5.87,0.1182,489.6378669,699.5437876,1029.337574,17.73,235.0261761,9.510319072
20.33,13.51,0.51,29.24,4.74,0.1196,344.0019244,814.9299527,1100.744355,20.33,175.4409814,7.144970598
0.5,16.31,0.36,59.4,10,0.02,393.3125684,787.7048371,1063.581832,0.5,141.5925246,5.932585301
15.36,5.42,0.51,35.21,5.28,0.0953,336.3123199,851.1630645,1177.477188,15.36,171.5192832,6.721417901
6.79,5.69,0.4,47.04,8.19,0.0415,485.9295854,614.0571068,1037.887536,6.79,194.3718342,8.309911816
19.36,13.92,0.37,36.91,5.05,0.1124,316.2137199,652.3175153,1043.989071,19.36,116.9990764,5.444655354
5.23,21.33,0.33,49.19,10,0.0292,289.8803363,614.5483747,1137.342891,5.23,95.66051097,4.464563516
20.73,22.7,0.61,25.32,5.21,0.139,375.7213532,657.6342673,1017.779932,20.73,229.1900255,9.960212507
11.6,6.73,0.47,40.86,6.32,0.0714,498.3226241,601.2848432,1146.473435,11.6,234.2116333,9.398945979
28.1,15.77,0.55,18.79,2,0.1845,476.1689986,751.2630905,1053.625458,28.1,261.8929492,10.18622348
4.13,23.26,0.59,46.68,8.82,0.0211,444.6937643,758.4943187,1132.187073,4.13,262.3693209,10.08385774
10.23,12.76,0.57,40.79,7.1,0.0591,475.974348,797.3675344,1174.607557,10.23,271.3053784,9.9398017
3.4,21.59,0.49,50.2,10,0.0226,476.5582607,715.4737342,1121.922275,3.4,233.5135478,9.154278641
27.74,7.67,0.46,21.32,2,0.1782,394.1488393,600.9623072,1042.536747,27.74,181.3084661,8.07000311
26.32,23.71,0.45,23.09,4.24,0.1617,349.5043914,802.1673463,1009.833105,26.32,157.2769761,6.706616099
7.74,20.03,0.56,41.81,8.19,0.044,449.8427351,616.2873263,1008.922794,7.74,251.9119316,10.78988371
19.8,23.83,0.5,31.88,5.39,0.1323,425.5654779,859.8511292,1017.762376,19.8,212.7827389,8.391274979
24.52,18.53,0.64,19.1,2.79,0.1538,362.2047004,606.7961963,1115.963582,24.52,231.8110082,9.900971897
16.66,12.27,0.65,31.21,4.31,0.1103,300.782667,759.142537,1069.643571,16.66,195.5087335,8.348874835
15.89,23.76,0.37,38.92,7.39,0.0957,444.2937145,868.4753647,1048.621395,15.89,164.3886744,6.467744806
7.26,10.51,0.35,48.62,9.18,0.042,337.7413135,771.7468727,1043.861312,7.26,118.2094597,5.18731246
2.79,11.64,0.55,50.32,8.49,0.02,486.0988931,782.525024,1189.716306,2.79,267.3543912,9.798640233
26.92,19.02,0.42,22.63,3.47,0.1607,333.0135265,804.4832545,1023.763315,26.92,139.8656811,6.007857856
27.01,20.31,0.31,28.64,3.98,0.1616,307.0067451,636.7226543,1060.962882,27.01,95.17209099,4.474739656
18.99,23.59,0.66,26.97,4.96,0.1224,462.8447879,802.4781302,1094.295452,18.99,305.47756,11.38106484
10.17,9.1,0.39,43.88,7.84,0.0578,313.7225497,864.1064646,1000.089905,10.17,122.3517944,5.295604152
10.48,20.96,0.67,37.33,7.12,0.0713,319.4390278,892.2662499,1184.190637,10.48,214.0241486,8.167613472
21.78,19.77,0.59,26.35,4.25,0.1307,411.8642141,732.9155998,1019.819718,21.78,242.9998863,10.00254981
26.91,6.28,0.61,20.87,2,0.1745,472.403649,703.3514555,1136.49412,26.91,288.1662259,10.96804455
26.61,12.74,0.38,27.58,2.64,0.1598,323.2156265,825.9928847,1125.773095,26.61,122.8219381,5.066047347
23.4,10.66,0.39,30.1,3.73,0.1447,348.271208,762.8622864,1161.812771,23.4,135.8257711,5.584546204
19.26,11.09,0.51,28.38,4.16,0.1173,451.0290644,677.1913963,1130.277546,19.26,230.0248229,9.172437905
2.52,24.66,0.37,59.8,10,0.02,493.8018137,651.6473655,1153.877483,2.52,182.7066711,7.353702921
4.85,17.86,0.42,47.71,9.56,0.0214,390.163061,651.0690902,1084.249722,4.85,163.8684856,7.142727748
26.96,19.35,0.43,25.69,3.44,0.1693,311.6574506,737.753111,1097.740899,26.96,134.0127037,5.806130616
18.19,24.53,0.36,37.12,6.72,0.104,283.0659833,651.0373217,1140.33242,18.19,101.903754,4.643535434
0.28,12.54,0.38,54.86,10,0.02,330.5243266,605.9156832,1113.685344,0.28,125.5992441,5.772011889
3.04,21.04,0.62,46.64,9.6,0.02,309.0008879,615.6266325,1102.30771,3.04,191.5805505,8.623711011
19.91,13.69,0.37,33.95,4.26,0.1244,429.0849082,878.9653632,1041.111681,19.91,158.761416,6.280533282
0.15,22.39,0.31,60,10,0.02,306.803151,621.8884023,1051.621652,0.15,95.10897682,4.582301576
4.82,8.61,0.55,45.23,8.19,0.0295,391.392585,621.9542072,1071.699448,4.82,215.2659217,9.338550096
16.46,23.95,0.69,28.01,5.63,0.1076,432.7377358,735.3565337,1001.856877,16.46,298.5890377,12.01565455
20.76,9.38,0.43,26.45,3.75,0.1331,407.845654,673.5300847,1083.47269,20.76,175.3736312,7.427995079
19.56,11.52,0.35,38.58,4.45,0.1222,323.9506434,888.8081557,1000.553695,19.56,113.3827252,4.832497515
6.73,20.12,0.53,42.94,9.17,0.0392,456.9073958,873.2957518,1113.003087,6.73,242.1609198,8.995251874
21.37,12.88,0.66,24.14,2.93,0.1359,437.3895685,721.4229746,1140.805754,21.37,288.6771152,11.06184394
7.12,17.16,0.61,41.85,8.1,0.0483,442.5764809,734.6194558,1112.429726,7.12,269.9716533,10.51816854
9.76,13.89,0.55,40.62,7.07,0.0618,308.8327053,712.5340959,1138.703995,9.76,169.8579879,7.259853922
22.39,19.85,0.43,30.97,4.63,0.1397,307.2258368,611.359835,1000.002634,22.39,132.1071098,6.372487542
19.49,9.57,0.52,33.45,3.8,0.1143,484.0637612,687.8540518,1011.888395,19.49,251.7131558,10.2530426
25.48,6.17,0.34,28.84,2.31,0.1666,367.4672026,636.8020409,1139.692488,25.48,124.9388489,5.445428276
19.73,11,0.57,29.49,4.06,0.1215,346.2087122,630.711099,1160.58003,19.73,197.3389659,8.381108481
17.05,14.49,0.59,31.5,4.58,0.1129,387.48849,768.2584719,1143.540314,17.05,228.6182091,8.983190882
2.81,8.36,0.69,47.08,8.14,0.02,425.8301268,629.6294573,1132.602449,2.81,293.8227875,11.82530688
11.03,12.1,0.4,42.71,7.58,0.0606,490.2371166,630.8793971,1141.476533,11.03,196.0948466,7.939969467
7.96,13,0.31,52.38,8.58,0.0504,343.0181699,744.1541144,1147.917985,7.96,106.3356327,4.526103293
7.32,6.15,0.52,46.89,6.73,0.0438,483.4578544,732.6847095,1144.8755,7.32,251.3980843,9.596313144
29.19,16.67,0.58,18.66,2.71,0.1933,285.4690881,641.2904355,1147.601696,29.19,165.5720711,7.296741954
11.79,22.69,0.62,35.04,6.89,0.0744,402.1435693,601.3347074,1014.803941,11.79,249.329013,10.93835563
26.76,8.03,0.38,25.22,2.7,0.1723,419.4745246,657.8923325,1012.65431,26.76,159.4003193,7.002970557
18.93,16.96,0.4,34.62,6.46,0.1094,303.2974288,670.7676763,1072.223989,18.93,121.3189715,5.548450011
23.84,18.29,0.51,22.49,4.05,0.1505,310.8747114,840.0745331,1105.519343,23.84,158.5461028,6.500842524
15.08,13.39,0.43,41.13,6,0.0853,372.2051502,874.6315052,1152.523811,15.08,160.0482146,6.216699098
17.31,19.02,0.64,28.88,4.96,0.109,492.5710207,721.7833192,1066.941564,17.31,315.2454532,12.06057308
14.78,13.21,0.49,37.15,5.52,0.0941,411.1293617,721.508018,1055.023415,14.78,201.4533872,8.380293472
5.86,15.09,0.62,42.22,8.59,0.0336,485.2651088,813.7443851,1156.289662,5.86,300.8643674,10.89289664
21.67,5.15,0.53,24.37,3.13,0.1431,456.9594014,788.0766047,1049.86737,21.67,242.1884828,9.465065375
8.42,18.83,0.61,39.41,7.55,0.0488,382.8239523,655.242056,1164.168275,8.42,233.5226109,9.554243453
